city,cityCode,year,hdmsp,province,provinceCode
平顶山市,410400,1993,44119.06275,河南省,410000
濮阳市,410900,1993,39345.51765,河南省,410000
三门峡市,411200,1993,24640.09804,河南省,410000
商丘市,411400,1993,24566.41176,河南省,410000
新乡市,410700,1993,57509.82745,河南省,410000
信阳市,411500,1993,15366.07451,河南省,410000
许昌市,411000,1993,27471.30196,河南省,410000
郑州市,410100,1993,78952.39608,河南省,410000
周口市,411600,1993,28498.78039,河南省,410000
驻马店市,411700,1993,19569.29804,河南省,410000
大庆市,230600,1993,89978.40784,黑龙江省,230000
哈尔滨市,230100,1993,161907.6196,黑龙江省,230000
鹤岗市,230400,1993,29034.8,黑龙江省,230000
黑河市,231100,1993,60528.82745,黑龙江省,230000
鸡西市,230300,1993,41777.17647,黑龙江省,230000
佳木斯市,230800,1993,51271.76863,黑龙江省,230000
牡丹江市,231000,1993,51935.18039,黑龙江省,230000
七台河市,230900,1993,16351.23137,黑龙江省,230000
齐齐哈尔市,230200,1993,75915.70588,黑龙江省,230000
双鸭山市,230500,1993,27105.96078,黑龙江省,230000
绥化市,231200,1993,87701.59216,黑龙江省,230000
伊春市,230700,1993,31096.66667,黑龙江省,230000
鄂州市,420700,1993,8677.015686,湖北省,420000
黄冈市,421100,1993,14627.59216,湖北省,420000
黄石市,420200,1993,13773.19216,湖北省,420000
荆门市,420800,1993,12707.44314,湖北省,420000
荆州市,421000,1993,16388.05098,湖北省,420000
十堰市,420300,1993,13184.9451,湖北省,420000
随州市,421300,1993,4883.321569,湖北省,420000
武汉市,420100,1993,60556.7451,湖北省,420000
咸宁市,421200,1993,7586.270588,湖北省,420000
襄阳市,420600,1993,26525.82745,湖北省,420000
孝感市,420900,1993,13710.76863,湖北省,420000
宜昌市,420500,1993,21586.54902,湖北省,420000
常德市,430700,1993,10390.36471,湖南省,430000
郴州市,431000,1993,15159.61176,湖南省,430000
衡阳市,430400,1993,11732.40392,湖南省,430000
怀化市,431200,1993,9475.980392,湖南省,430000
娄底市,431300,1993,10733.85882,湖南省,430000
邵阳市,430500,1993,6945.686275,湖南省,430000
湘潭市,430300,1993,10401.49412,湖南省,430000
益阳市,430900,1993,4531.368627,湖南省,430000
永州市,431100,1993,7034.6,湖南省,430000
岳阳市,430600,1993,14184.30196,湖南省,430000
张家界市,430800,1993,2736.458824,湖南省,430000
长沙市,430100,1993,21458.60392,湖南省,430000
株洲市,430200,1993,11455.53333,湖南省,430000
白城市,220800,1993,16354.41569,吉林省,220000
白山市,220600,1993,20950.43922,吉林省,220000
吉林市,220200,1993,76915.24706,吉林省,220000
辽源市,220400,1993,24076.22745,吉林省,220000
四平市,220300,1993,41412.86667,吉林省,220000
松原市,220700,1993,36793.0902,吉林省,220000
通化市,220500,1993,31899.65882,吉林省,220000
长春市,220100,1993,132573.0588,吉林省,220000
常州市,320400,1993,39441.63922,江苏省,320000
淮安市,320800,1993,28415.12549,江苏省,320000
连云港市,320700,1993,30028.77255,江苏省,320000
南京市,320100,1993,74460.19608,江苏省,320000
南通市,320600,1993,67892.21569,江苏省,320000
苏州市,320500,1993,101143.4078,江苏省,320000
宿迁市,321300,1993,21663.19608,江苏省,320000
泰州市,321200,1993,35899.03137,江苏省,320000
无锡市,320200,1993,63347.95294,江苏省,320000
徐州市,320300,1993,62656.11373,江苏省,320000
盐城市,320900,1993,32523.02353,江苏省,320000
扬州市,321000,1993,39367.36078,江苏省,320000
镇江市,321100,1993,32608.79216,江苏省,320000
抚州市,361000,1993,5068.839216,江西省,360000
赣州市,360700,1993,15871.77255,江西省,360000
吉安市,360800,1993,8384.768627,江西省,360000
景德镇市,360200,1993,6861.913725,江西省,360000
九江市,360400,1993,14723.61961,江西省,360000
南昌市,360100,1993,22860.90588,江西省,360000
萍乡市,360300,1993,5256.25098,江西省,360000
上饶市,361100,1993,12082.55294,江西省,360000
