city,cityCode,year,viirsl,province,provinceCode
伊春市,230700,2001,5630.559662,黑龙江省,230000
鄂州市,420700,2001,442.4216716,湖北省,420000
黄冈市,421100,2001,796.6445211,湖北省,420000
黄石市,420200,2001,1057.988276,湖北省,420000
荆门市,420800,2001,1062.324739,湖北省,420000
荆州市,421000,2001,996.3985959,湖北省,420000
十堰市,420300,2001,1884.976907,湖北省,420000
随州市,421300,2001,336.6065482,湖北省,420000
武汉市,420100,2001,17000.88842,湖北省,420000
咸宁市,421200,2001,638.5408851,湖北省,420000
襄阳市,420600,2001,3675.041725,湖北省,420000
孝感市,420900,2001,1106.937527,湖北省,420000
宜昌市,420500,2001,1727.510521,湖北省,420000
常德市,430700,2001,1653.033294,湖南省,430000
郴州市,431000,2001,1759.345267,湖南省,430000
衡阳市,430400,2001,992.8213217,湖南省,430000
怀化市,431200,2001,861.9074389,湖南省,430000
娄底市,431300,2001,417.84646,湖南省,430000
邵阳市,430500,2001,467.6386728,湖南省,430000
湘潭市,430300,2001,958.7590601,湖南省,430000
益阳市,430900,2001,313.1755763,湖南省,430000
永州市,431100,2001,843.0538901,湖南省,430000
岳阳市,430600,2001,1001.910288,湖南省,430000
张家界市,430800,2001,167.1269177,湖南省,430000
长沙市,430100,2001,6531.700814,湖南省,430000
株洲市,430200,2001,1714.4799,湖南省,430000
白城市,220800,2001,3619.723887,吉林省,220000
白山市,220600,2001,3079.268162,吉林省,220000
吉林市,220200,2001,21714.06883,吉林省,220000
辽源市,220400,2001,2421.402036,吉林省,220000
四平市,220300,2001,3657.400959,吉林省,220000
松原市,220700,2001,7785.098101,吉林省,220000
通化市,220500,2001,4773.361548,吉林省,220000
长春市,220100,2001,53124.95745,吉林省,220000
常州市,320400,2001,7602.933256,江苏省,320000
淮安市,320800,2001,3868.786913,江苏省,320000
连云港市,320700,2001,4339.134424,江苏省,320000
南京市,320100,2001,19338.7176,江苏省,320000
南通市,320600,2001,7861.208878,江苏省,320000
苏州市,320500,2001,25160.13571,江苏省,320000
宿迁市,321300,2001,2010.739372,江苏省,320000
泰州市,321200,2001,5829.100764,江苏省,320000
无锡市,320200,2001,16438.73631,江苏省,320000
徐州市,320300,2001,8120.764097,江苏省,320000
盐城市,320900,2001,4012.100135,江苏省,320000
扬州市,321000,2001,4853.312848,江苏省,320000
镇江市,321100,2001,3420.584688,江苏省,320000
抚州市,361000,2001,768.1949421,江西省,360000
赣州市,360700,2001,1897.818588,江西省,360000
吉安市,360800,2001,739.6537782,江西省,360000
景德镇市,360200,2001,659.241763,江西省,360000
九江市,360400,2001,835.0071668,江西省,360000
